,c,python,java,js
6,0.08458662033081055,1.375431776046753,,
8,0.10633635520935059,1.6824400424957275,,1.0497517585754395
10,0.09715962409973145,1.952599048614502,,
12,0.110260009765625,2.2359766960144043,,
14,0.13948416709899902,2.4665884971618652,,1.602924108505249
16,0.14389991760253906,2.709667682647705,,
18,0.14823555946350098,3.016522169113159,,
20,0.16300296783447266,3.2904224395751953,,2.1728103160858154
22,0.16030144691467285,3.5696585178375244,,
24,0.15047812461853027,3.820253372192383,,
26,0.21053743362426758,4.059772491455078,,2.734254837036133
28,0.22497868537902832,4.323303937911987,,
30,0.2244093418121338,4.579859256744385,,
32,0.2685849666595459,4.880215883255005,,3.2367827892303467
34,0.23453307151794434,5.139848232269287,,
36,0.2200756072998047,5.429891347885132,,
38,0.22716212272644043,5.710185527801514,,3.7532846927642822
40,0.20538926124572754,5.953299283981323,,
42,0.21053290367126465,6.236638069152832,,
44,0.24485397338867188,6.546692371368408,,4.305442810058594
46,0.3142843246459961,6.779865026473999,,
48,0.31557464599609375,7.036697626113892,,
50,0.3464677333831787,7.31627345085144,,4.857235670089722
52,0.34610486030578613,7.596687316894531,,
54,0.3326113224029541,7.890206575393677,,
56,0.32500338554382324,8.170118570327759,,5.4154884815216064
58,0.3009943962097168,8.313171863555908,,
60,0.3386402130126953,8.659456014633179,,
62,0.38227248191833496,8.873513221740723,,6.027106046676636
64,0.3882880210876465,9.180323123931885,,
66,0.37826108932495117,9.432873010635376,,
68,0.387096643447876,9.72694444656372,,6.56795072555542
70,0.4192233085632324,9.986531496047974,,
72,0.4247891902923584,10.259848833084106,,
74,0.4268467426300049,10.593708753585815,,7.044950485229492
76,0.4613194465637207,10.776498317718506,,
78,0.46708178520202637,11.136675119400024,,
80,0.40459322929382324,11.339869976043701,,7.585131406784058
82,0.4525175094604492,11.589719533920288,,
84,0.4039127826690674,11.873423099517822,,
86,0.5287714004516602,12.109808206558228,,8.166864395141602
88,0.4474673271179199,12.463570833206177,,
90,0.4773674011230469,12.77647089958191,,
92,0.5049235820770264,12.960197448730469,,8.646594762802124
94,0.5131754875183105,13.216660261154175,,
96,0.4765772819519043,13.543208837509155,,
98,0.5355310440063477,13.847409963607788,,9.203057765960693
100,0.5452251434326172,14.166461944580078,,
102,0.5614218711853027,14.43905782699585,,
104,0.4966418743133545,14.563340425491333,,9.747809648513794
5,,,0.7699496746063232,
7,,,0.9539988040924072,
9,,,1.129554033279419,
11,,,1.3197531700134277,1.3331267833709717
13,,,1.5066750049591064,
15,,,1.6635124683380127,
17,,,1.8831636905670166,1.8945879936218262
19,,,2.0534448623657227,
21,,,2.2330172061920166,
23,,,2.429870843887329,2.432710647583008
25,,,2.58009672164917,
27,,,2.780103921890259,
29,,,2.93335223197937,2.998532295227051
31,,,3.099574327468872,
33,,,3.303427219390869,
35,,,3.4566705226898193,3.4735240936279297
37,,,3.6365950107574463,
39,,,3.829965591430664,
41,,,3.999915838241577,4.071115255355835
43,,,4.183496713638306,
45,,,4.376493215560913,
47,,,4.563262939453125,4.616983652114868
49,,,4.7300169467926025,
51,,,4.913437843322754,
53,,,5.093167543411255,5.14002251625061
55,,,5.269885063171387,
57,,,5.459926128387451,
59,,,5.623566389083862,5.669841289520264
61,,,5.826408624649048,
63,,,5.970037221908569,
65,,,6.140056848526001,6.226212978363037
67,,,6.343122959136963,
69,,,6.546669006347656,
71,,,6.700038433074951,6.7599897384643555
73,,,6.909865856170654,
75,,,7.0732421875,
77,,,7.246635437011719,7.313470840454102
79,,,7.453400611877441,
81,,,7.633203029632568,
83,,,7.796696424484253,7.821331262588501
85,,,8.013223648071289,
87,,,8.223361015319824,
89,,,8.393349647521973,8.431342363357544
91,,,8.686877012252808,
93,,,8.83628225326538,
95,,,8.9599928855896,8.925010204315186
97,,,9.163256883621216,
99,,,9.26986289024353,
101,,,9.440057516098022,9.420679330825806
103,,,9.636627197265625,
