,step, time
1,6,0.008415167
2,8,0.010256627
3,10,0.011578778
4,12,0.016275979
5,14,0.0182449
6,16,0.017809709
7,18,0.01993286
8,20,0.020486703
9,22,0.022746872
10,24,0.026271513
11,26,0.02523975
12,28,0.039359696
13,30,0.028895468
14,32,0.020748267
15,34,0.023088476
16,36,0.029259394
17,38,0.032279683
18,40,0.026156466
19,42,0.028165271
20,44,0.03311586
21,46,0.02570724
22,48,0.026063772
23,50,0.025969434
24,52,0.034232023
25,54,0.038302392
26,56,0.044322857
27,58,0.041261649
28,60,0.051405712
29,62,0.032439646
30,64,0.031797155
31,66,0.042441161
32,68,0.050360803
33,70,0.057763092
34,72,0.052197975
35,74,0.052939964
36,76,0.058594449
37,78,0.036864443
38,80,0.033930164
39,82,0.044848156
40,84,0.042960821
41,86,0.058102711
42,88,0.05893024
43,90,0.05506155
44,92,0.05855354
45,94,0.068852766
46,96,0.060151009
47,98,0.054980257
48,100,0.067532539
49,102,0.069987043
50,104,0.044222246
51,106,0.042291358
52,108,0.049501123
53,110,0.058764558
54,112,0.06932155
